engine_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.00,39.06,23.4190
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.30,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.00,39.00,23.4236
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.20,14.62,21.61,554.26,2388.08,9052.94,1.30,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.00,38.95,23.3442
1,4,0.0007,0.0000,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.30,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.00,38.88,23.3739
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1405.42,14.62,21.61,554.00,2388.06,9055.15,1.30,47.28,522.19,2388.04,8133.80,8.4294,0.03,393,2388,100.00,38.90,23.4044
1,6,-0.0043,-0.0001,100.0,518.67,642.10,1584.47,1407.14,14.62,21.61,554.00,2388.05,9055.15,1.30,47.28,522.00,2388.06,8133.80,8.4124,0.03,391,2388,100.00,38.85,23.3880
1,7,0.0010,0.0001,100.0,518.67,642.48,1592.58,1400.70,14.62,21.61,553.80,2388.05,9051.10,1.30,47.31,522.06,2388.07,8136.20,8.4170,0.03,392,2388,100.00,38.82,23.3395
1,8,-0.0034,0.0003,100.0,518.67,642.55,1590.25,1402.34,14.62,21.61,553.95,2388.04,9048.20,1.30,47.35,521.98,2388.05,8134.10,8.4210,0.03,391,2388,100.00,38.91,23.3712
2,1,0.0000,0.0004,100.0,518.67,642.75,1588.46,1407.03,14.62,21.61,553.86,2388.08,9053.48,1.30,47.34,521.82,2388.08,8127.35,8.4239,0.03,392,2388,100.00,38.87,23.3101
2,2,0.0011,0.0001,100.0,518.67,642.42,1586.88,1402.13,14.62,21.61,553.84,2388.06,9052.47,1.30,47.38,522.04,2388.08,8126.96,8.4284,0.03,391,2388,100.00,38.96,23.3406
2,3,-0.0005,0.0004,100.0,518.67,642.70,1587.25,1401.76,14.62,21.61,554.15,2388.06,9056.24,1.30,47.45,522.25,2388.04,8127.91,8.4326,0.03,393,2388,100.00,38.85,23.3857
2,4,0.0028,0.0000,100.0,518.67,642.36,1589.60,1405.00,14.62,21.61,553.90,2388.05,9054.10,1.30,47.40,522.15,2388.07,8128.50,8.4190,0.03,392,2388,100.00,38.89,23.3640
3,1,0.0002,0.0002,100.0,518.67,642.20,1585.10,1402.80,14.62,21.61,554.10,2388.07,9050.15,1.30,47.25,522.30,2388.05,8132.40,8.4215,0.03,392,2388,100.00,38.92,23.3510
3,2,-0.0015,-0.0003,100.0,518.67,642.40,1588.30,1403.90,14.62,21.61,553.92,2388.06,9049.80,1.30,47.32,522.10,2388.06,8131.80,8.4260,0.03,393,2388,100.00,38.88,23.3690
